NAME,TYPE,LOCATION,TAG,LAT,LON,CATEGORY
현대체육관,지역실내체육관,서울특별시 은평구 구산동 서오릉로,에너지 회복; 스트레스 해소,37.6129309,126.9137875,피트니스/운동시설
전우체육관,지역실내체육관,서울특별시 노원구 상계동 한글비석로24길,에너지 회복; 스트레스 해소,37.6629079,127.0725669,피트니스/운동시설
마을종합체육관,지역실내체육관,서울특별시 강동구 성내동 올림픽로,에너지 회복; 스트레스 해소,37.5313695,127.1208518,피트니스/운동시설
그랜드볼링센터,볼링장,서울특별시 금천구 가산동 가산로9길,스트레스 해소; 감정 자극,37.4766687,126.8906247,실내 스포츠/레저
서울특별시교육청학생체육관,대형실내체육관,서울특별시 송파구 잠실동 올림픽로,에너지 회복; 스트레스 해소,37.5115211,127.0757714,실내 스포츠/레저
동문체육관,지역실내체육관,서울특별시 동대문구 장안동 장한로26다길,에너지 회복; 스트레스 해소,37.5671666,127.071135,피트니스/운동시설
세종볼링센터,볼링장,서울특별시 종로구 내수동 새문안로3길,스트레스 해소; 감정 자극,37.5729873,126.9726494,실내 스포츠/레저
종합체육관,지역실내체육관,서울특별시 성동구 금호동4가 독서당로46가길,에너지 회복; 스트레스 해소,37.5476621,127.0211345,피트니스/운동시설
진리체육관,지역실내체육관,서울특별시 서대문구 남가좌동 명지대길,에너지 회복; 스트레스 해소,37.5830286,126.9233761,피트니스/운동시설
우성스포닉센터,스포츠센터,서울특별시 동작구 신대방동 여의대방로,에너지 회복; 스트레스 해소,37.4967762,126.9159857,피트니스/운동시설
태릉선수촌개선관,지역실내체육관,서울특별시 노원구 공릉동 화랑로,에너지 회복; 스트레스 해소,37.6317176,127.1005228,피트니스/운동시설
태성체육관,지역실내체육관,서울특별시 성북구 석관동 돌곶이로14길,에너지 회복; 스트레스 해소,37.6092182,127.0621339,피트니스/운동시설
곰두리체육센터,스포츠센터,서울특별시 송파구 오금동 동남로,에너지 회복; 스트레스 해소,37.5056449,127.1391853,피트니스/운동시설
위너스볼링장,볼링장,서울특별시 금천구 독산동 시흥대로,스트레스 해소; 감정 자극,37.4669034,126.8978902,실내 스포츠/레저
대청레포츠센터,스포츠센터,서울특별시 강남구 개포동 개포로,에너지 회복; 스트레스 해소,37.489715,127.0695778,피트니스/운동시설
용성스포츠센터,스포츠센터,서울특별시 동대문구 전농동 사가정로,에너지 회복; 스트레스 해소,37.5747671,127.0536195,피트니스/운동시설
개운스포츠센터,스포츠센터,서울특별시 성북구 종암동 북악산로,에너지 회복; 스트레스 해소,37.5995928,127.0266999,피트니스/운동시설
신사스포츠센터,스포츠센터,서울특별시 서초구 잠원동 나루터로,에너지 회복; 스트레스 해소,37.5161333,127.0120671,피트니스/운동시설
동천빙상경기장,지역실내체육관,서울특별시 노원구 하계동 노원로18길,에너지 회복; 스트레스 해소,37.6438142,127.0734347,피트니스/운동시설
크리스탈수영장,일반수영장,서울특별시 강남구 신사동 압구정로,에너지 회복; 안정감,37.5236257,127.0215285,수영/수상스포츠
잠실카트체험장,일반경기장,서울특별시 송파구 잠실동 ,에너지 회복; 스트레스 해소,37.5122807,127.0855986,경기장/관람시설
골드수영장,일반수영장,서울특별시 광진구 광장동 아차산로78길,에너지 회복; 안정감,37.5509773,127.1108714,수영/수상스포츠
싸이헬스,헬스/휘트니스,서울특별시 은평구 역촌동 서오릉로7길,스트레스 해소; 감정 자극,37.60662,126.9213722,피트니스/운동시설
로얄당구장,당구장,서울특별시 송파구 삼전동 삼학사로19길,스트레스 해소; 감정 자극,37.5062041,127.0942154,실내 스포츠/레저
힐스포파크,헬스/휘트니스,서울특별시 동대문구 답십리동 답십리로,스트레스 해소; 감정 자극,37.5747327,127.0499421,피트니스/운동시설
성은헬스클럽,헬스/휘트니스,서울특별시 서대문구 북가좌동 증가로,스트레스 해소; 감정 자극,37.5813203,126.9151431,피트니스/운동시설
서울레포츠센터,스포츠센터,서울특별시 강동구 고덕동 고덕로,에너지 회복; 스트레스 해소,37.556037,127.1455687,피트니스/운동시설
한경스포렉스,헬스/휘트니스,서울특별시 서초구 반포동 신반포로,스트레스 해소; 감정 자극,37.5044399,126.9996177,피트니스/운동시설
르메이에르헬스,헬스/휘트니스,서울특별시 관악구 남현동 과천대로,스트레스 해소; 감정 자극,37.4644544,126.9881404,피트니스/운동시설
